,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
3336,202023521J,Centre Borelli,CB,2020,Unité mixte,22,2,https://www.centreborelli.fr/.,"ECOLE NORMALE SUPERIEURE PARIS-SACLAY 4 avenue des sciences, 91190 Gif-sur-Yvette",91190,GIF SUR YVETTE,VAYATIS,Nicolas,DIR,UMR 9010;UMR 9010;;;UMR 9010,Ecole normale supérieure Paris-Saclay;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Ministère de la défense;Université de Paris,ENS Paris-Saclay;CNRS;INSERM;MIN.DEF.;U PARIS,AUT_ETAB;EPST;EPST;AUT_OP_FR;UNIV,Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Autre opérateur de droit français;Université,0912423P;0753639Y;0755364Y;;0755976N,19940607500010;18008901303720;18003604800015;11009001600012;13002573700011,TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,,,201420757F;199812864W,fusion;fusion,F;F,2020;2020,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023521J&PUBLIC=OK,
3343,200311865N,Pacte - Laboratoire de sciences sociales,PACTE,2003,Unité mixte,22,2,https://www.pacte-grenoble.fr/,1030 avenue Centrale,38100,GRENOBLE,DUMOULIN;HOUSSAY-HOLZSCHUCH;KOOP;PERSICO;STRIPPOLI;BECK;LARPENT;BONTEMS;DELPEUCH,Laurence;Myriam;Kirsten;Simon;Véronique;Elise;Arthur;Thierry;Thierry,Directrice;Resp. Equipe Justice sociale;Resp.Eq. Villes et territoires;Resp.  Equipe Gouvernance;Dir. Adm et Fin;Resp. Equipe Environnement;Resp. Rayonnement Scientifique;Resp. Pilotage et Stratégie;Resp. Equipe Régulations,UMR 5194;UMR 5194;UMR 5194,Institut Etudes Politiques Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes,IEP GRENOBLE;CNRS;GRENOBLE ALPES,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0380134P;0753639Y;0383546Y,19380134700017;18008901303720;13002608100013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,6;7,Sciences humaines et humanités;Sciences de la société,SH3;SH2;SH1,"The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;Institutions, Governance and Legal Systems : Political science, international relations, law;Individuals, Markets and Organisations : Economics, finance, management",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311865N&PUBLIC=OK,grid.463723.7
3344,201822759P,"Laboratoire de Probabilités, Statistique et Modélisation",LPSM,2018,Unité mixte,22,2,http://www.proba.jussieu.fr,"UNIVERSITE PIERRE ET MARIE CURIE, BC 188, 4 place Jussieu",75252,PARIS CEDEX 05,ZAMBOTTI,Lorenzo,DIR,UMR 8001;;UMR 8001,Centre national de la recherche scientifique;Sorbonne Université;Université de Paris,CNRS;SORBONNE UNIV.;U PARIS,EPST;UNIV;UNIV,Organismes de type EPST;Université;Université,0753639Y;0755890V;0755976N,18008901303720;13002338500011;13002573700011,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,199914433X;199712645M,fusion;fusion,F;F,2018;2018,1,Mathématiques et leurs interactions,PE1,"Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822759P&PUBLIC=OK,
3347,202124094C,Architectures matérielles spécialisées pour l’ère post loi-de-Moore,TARAN,2021,Unité propre,21,2,https://www.inria.fr/fr/taran,,35042,Rennes,Sentieys,Olivier,,;;;,Université Rennes 1;Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique;Ecole normale supérieure de Rennes,RENNES 1;CNRS;INRIA;ENS RENNES,UNIV;EPST;EPST;AUT_ETAB,Université;Organismes de type EPST;Organismes de type EPST;Autres établissements ESR,0350936C;0753639Y;0780491K;0352440M,19350936100013;18008901303720;18008904700013;13001848400019,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200012163A;198018249C,,,,,9,Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202124094C&PUBLIC=OK,
3352,201722934J,organisation structurale multiéchelle des matériaux,,2017,Equipe interne,1,1,http://www.ircer.fr/recherche/axe3,Centre Européen de la Céramique - 12 Rue Atlantis,87068,LIMOGES,MASSON,Olivier,,;,Université Limoges;Centre national de la recherche scientifique,LIMOGES;CNRS,UNIV;EPST,Université;Organismes de type EPST,0870669E;0753639Y,19870669900321;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,201220198G,,,,,8,Sciences pour l'ingénieur,PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722934J&PUBLIC=OK,
3354,199712631X,Laboratoire physique nucléaire et hautes énergies,LPNHE,1997,Unité mixte,22,2,https://lpnhe.in2p3.fr/,4 Place Jussieu,75252,PARIS CEDEX 05,RIDEL;ZITO,Mélissa;Marc,directrice adjointe;Directeur,UMR 7585;UMR 7585;UMR 7585,Centre national de la recherche scientifique;Sorbonne Université;Université de Paris,CNRS;SORBONNE UNIV.;U PARIS,EPST;UNIV;UNIV,Organismes de type EPST;Université;Université,0753639Y;0755890V;0755976N,18008901303720;13002338500011;13002573700011,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,2;3,"Physique;Sciences de la terre et de l'univers, espace",PE2,"Fundamental constituents of matter : particle, nuclear, plasma, atomic, molecular, gas, and optical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712631X&PUBLIC=OK,grid.463935.e
3357,200617697P,Fondation Pierre-Gilles De Gennes pour la Recherche,FRTV,2006,Structures Fédératives de Recherche,3,3,http://www.fondation-pgg.org,,75056,Paris,RUBINSTENN;CUMIN,Gilles;Corinne,DIR;SG,;;;;,Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Ecole Normale Supérieure Paris;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université Paris sciences et lettres,ESPCI PARIS;ENS PARIS;CNRS;INSERM;PSL,AUT_ETAB;AUT_ETAB;EPST;EPST;UNIV,Autres établissements ESR;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Université,0753429V;0753455Y;0753639Y;0755364Y;0756036D,20000068500012;19753459700012;18008901303720;18003604800015;13002614900018,TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,2,Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200617697P&PUBLIC=OK,grid.484141.c
3359,200612816J,"Histoire, Archéologie, Littérature des Mondes Anciens",HALMA,2006,Unité mixte,22,2,http://halma.recherche.univ-lille3.fr/,,59653,VILLENEUVE D ASCQ CEDEX,DELATTRE;ABRAHAMI;HUBER,Charles;Philippe;Sandrine,Dir Adjoint;Dir Adjoint;Directrice,UMR 8164;UMR 8164;UMR 8164;UMR 8164,Centre national de la recherche scientifique;Ministère de la culture;Université de Lille;Institut National de Recherches Archeologiques Preventives,CNRS;MIN.CULT;LILLE;INRAP,EPST;AUT_OP_FR;UNIV;EPA,Organismes de type EPST;Autre opérateur de droit français;Université;Etablissement public à caractère administratif,0753639Y;;0597065J;0755502Y,18008901303720;11004601800013;13002358300011;18009226400225,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,202023840F;202023839E;202023838D;202023837C;201523984J,,200212700A;200212798G,fusion;fusion,F;F,2006;2006,6,Sciences humaines et humanités,SH5;SH6,"Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;The Study of the Human Past : Archaeology and history",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200612816J&PUBLIC=OK,
3365,202224172H,Mécanismes en sciences de la vie intégrative,Melis,2022,Unité mixte,22,2,,UNIVERSITE CLAUDE BERNARD Faculté de Médecine et de Pharmacie 8 avenue Rockfeller,69622,VILLEURBANNE CEDEX,BESSEREAU;CASTELLANI;MARCELLE,Jean-Louis;Valérie;Christophe,DIR;Directrice adjointe;Directeur adjoint,;UMR 5284;U 1314,Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,LYON 1;CNRS;INSERM,UNIV;EPST;EPST,Université;Organismes de type EPST;Organismes de type EPST,0691774D;0753639Y;0755364Y,19691774400019;18008901303720;18003604800015,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,201622204V,éclatement,E,2022,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202224172H&PUBLIC=OK,
3369,202224193F,Module des réponses immunitaires et inflammatoires,,2022,Equipe interne,1,1,http://www.crcna.univ-nantes.fr/,Université de Nantes - IRSUN - 8 quai Moncousu -70721,44OO7,Nantes cedex 1,ALTARE;LABARRIERE,Frédéric;Nathalie,DIR;directrice adjointe,;EMR 6001;;,Université Angers;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Nantes Université,ANGERS;CNRS;INSERM;Nantes Université,UNIV;EPST;EPST;UNIV,Université;Organismes de type EPST;Organismes de type EPST;Université,0490970N;0753639Y;0755364Y;0442953W,19490970100303;18008901303720;18003604800015;13002974700016,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,202224154N,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202224193F&PUBLIC=OK,
3370,200817366W,Sciences Economiques et Sociales de la Santé et Traitement de l'Information Médicale,SESSTIM,2012,Unité mixte,22,2,http://sesstim.univ-amu.fr/,ORS Paca23 rue Stanislas Torrents,13006,MARSEILLE,GIORGI,Roch,DIR,U 1252;U 259;U 1252;;U 912,Institut national de la sante et de la recherche medicale;Institut de recherche pour le developpement;Université Aix-Marseille;Centre national de la recherche scientifique;Ministère de la défense,INSERM;IRD;AIX-MARSEILLE;CNRS;MIN.DEF.,EPST;EPST;UNIV;EPST;AUT_OP_FR,Organismes de type EPST;Organismes de type EPST;Université;Organismes de type EPST;Autre opérateur de droit français,0755364Y;0133973Y;0134009M;0753639Y;,18003604800015;18000602500159;13001533200013;18008901303720;11009001600012,TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,,,200014581D,intégration,I,2012,5;6;7,"Biologie, médecine et santé;Sciences humaines et humanités;Sciences de la société",LS7;SH1,"Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;Individuals, Markets and Organisations : Economics, finance, management",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200817366W&PUBLIC=OK,grid.464064.4
3372,199719335J,Centre des matériaux - Pierre-Marie Fourt,MAT,1997,Unité mixte,22,2,http://www.mat.ensmp.fr,10 rue Henri Desbruères,91003,EVRY CEDEX,CREPIN,Jérôme,,UMR 7633;UMR 7633;UMR 7633,Ecole nationale supérieure des mines de Paris (Mines ParisTech);Centre national de la recherche scientifique;Université Paris sciences et lettres,ENSM PARIS;CNRS;PSL,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0753493P;0753639Y;0756036D,19753493600012;18008901303720;13002614900018,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,8,Sciences pour l'ingénieur,PE5;PE8,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199719335J&PUBLIC=OK,
3387,199511664E,"UMR 5600 - ENVIRONNEMENT, VILLE, SOCIETE",EVS,1995,Unité mixte,22,2,http://umr5600.ish-lyon.cnrs.fr,Université Jean Moulin Lyon 3 -   1C avenue des Frères Lumière CS 78242,69362,LYON CEDEX 08,COSSART;PIEGAY,Etienne;Hervé,DIR;DIR-ADJ,UMR 5600;UMR 5600;UMR 5600;UMR 5600;UMR 5600;UMR 5600;UMR 5600;UMR 5600;UMR 5600,Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne);Université Jean Monnet Saint-Etienne;Institut National des Sciences Appliquées Lyon;Université Lumière Lyon 2;Université Jean Moulin Lyon 3;Ecole Nationale des Travaux Publics de l'Etat Lyon;Centre national de la recherche scientifique;Ecole Nationale Supérieure d'Architecture de Lyon;Ecole Normale Supérieure de Lyon,ENSM ST-ETIENNE;SAINT-ETIENNE;INSA LYON;LYON 2;LYON 3;ENTPE LYON;CNRS;EC. ARCHI. LYON;ENS LYON,AUT_ETAB;UNIV;AUT_ETAB;UNIV;UNIV;AUT_ETAB;EPST;AUT_ETAB;AUT_ETAB,Autres établissements ESR;Université;Autres établissements ESR;Université;Université;Autres établissements ESR;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR,0420094Z;0421095M;0690192J;0691775E;0692437Z;0692566P;0753639Y;0690184A;0694123G,18009202500105;19421095100423;19690192000013;19691775100014;19692437700282;13000288400018;18008901303720;19690184700018;13000812100019,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,201119599K,,,,,6,Sciences humaines et humanités,SH3,"The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511664E&PUBLIC=OK,grid.463960.e
3402,202023665R,Histoire CNRS - Comité pour l'histoire du CNRS,,2008,Unité propre,21,2,,1 place Aristide Briand,92195,MEUDON CEDEX,BLAY,Michel,DIR,MOY 1676,Centre national de la recherche scientifique,CNRS,EPST,Organismes de type EPST,0753639Y,18008901303720,TUTE,établissement tutelle,,,,,,,7,Sciences de la société,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023665R&PUBLIC=OK,
